Model,ROC-AUC,PR-AUC,Sensitivity,Specificity
Logistic Regression,0.6982406182856553,0.7167954196703773,0.9086642599277979,0.20572057205720573
Random Forest,0.9126410715680473,0.9284145314154235,0.8375451263537906,0.8514851485148515
SVM,0.7196638376232329,0.7566034700856255,0.9126353790613718,0.18335166850018336
